Date,Open,High,Low,Close,Volume,Adj Close
2016-04-01,36.540001,36.880001,36.310001,36.48,27300800,36.48
2016-03-01,32.040001,37.279999,32.040001,36.810001,15947900,36.810001
2016-02-01,29.27,32.459999,26.15,31.790001,20665800,31.790001
2016-01-04,32.119999,32.459999,27.440001,29.51,18633000,29.51
2015-12-01,33.869999,36.389999,32.209999,33.259998,16623500,33.259998
2015-11-02,35.459999,35.48,32.119999,33.810001,13871700,33.810001
2015-10-01,28.950001,35.700001,28.43,35.619999,17437300,35.619999
2015-09-01,31.49,32.830002,27.200001,28.91,22885600,28.91
2015-08-03,36.669998,37.709999,29.00,32.240002,15719000,32.240002
2015-07-01,39.459999,39.98,36.580002,36.669998,12851100,36.669998
2015-06-01,43.049999,43.779999,38.849998,39.290001,11995000,39.290001
2015-05-01,42.549999,45.07,39.119999,42.939999,18233000,42.939999
2015-04-01,44.450001,46.169998,42.259998,42.57,14137800,42.57
2015-03-02,44.060001,45.669998,41.970001,44.439999,13743900,44.439999
2015-02-02,44.43,45.25,42.540001,44.279999,14479100,44.279999
2015-01-02,50.66,50.779999,41.799999,43.990002,25554600,43.990002
2014-12-01,51.43,51.68,48.290001,50.509998,16328900,50.509998
2014-11-03,46.049999,52.619999,45.740002,51.740002,25212400,51.740002
2014-10-01,40.66,46.52,36.200001,46.049999,32907000,46.049999
2014-09-02,38.900002,44.009998,37.900002,40.75,59562900,40.75
2014-08-01,35.689999,38.720001,35.150002,38.509998,14516900,38.509998
2014-07-01,35.50,36.990002,32.93,35.810001,24392600,35.810001
2014-06-02,34.689999,37.060001,33.02,35.130001,17672000,35.130001
2014-05-01,36.259998,37.169998,33.099998,34.650002,20377100,34.650002
2014-04-01,36.16,37.299999,32.150002,35.950001,29490300,35.950001
2014-03-03,37.650002,40.150002,35.049999,35.900002,19714800,35.900002
2014-02-03,35.939999,39.380001,34.66,38.669998,15895000,38.669998
2014-01-02,40.369999,41.720001,34.450001,36.009998,22947000,36.009998
2013-12-02,37.040001,41.049999,36.25,40.439999,15105900,40.439999
2013-11-01,33.150002,37.349998,32.060001,36.98,16738800,36.98
2013-10-01,33.360001,35.060001,31.700001,32.939999,24592600,32.939999
2013-09-03,27.379999,33.849998,27.370001,33.169998,19355900,33.169998
2013-08-01,28.35,28.60,26.75,27.120001,12955200,27.120001
2013-07-01,25.26,29.83,24.82,28.09,22433900,28.09
2013-06-03,26.370001,27.120001,23.82,25.129999,17054000,25.129999
2013-05-01,24.67,27.68,24.18,26.299999,18279000,26.299999
2013-04-01,23.309999,25.370001,22.700001,24.73,18242700,24.73
2013-03-01,21.360001,23.879999,21.26,23.530001,19990700,23.530001
2013-02-01,19.77,21.57,19.309999,21.309999,18966100,21.309999
2013-01-02,20.200001,20.879999,18.889999,19.629999,24686400,19.629999
2012-12-03,18.549999,19.969999,18.34,19.90,21496100,19.90
2012-11-01,16.90,19.16,16.860001,18.77,27813200,18.77
2012-10-01,16.00,16.889999,15.65,16.84,23074600,16.84
2012-09-04,14.64,16.200001,14.59,15.98,21900500,15.98
2012-08-01,15.86,16.370001,14.59,14.65,17527600,14.65
2012-07-02,15.80,16.17,15.23,15.84,15348400,15.84
2012-06-01,15.04,15.83,14.81,15.83,14102700,15.83
2012-05-01,15.51,16.00,14.80,15.24,19935500,15.24
2012-04-02,15.19,15.70,14.73,15.54,16640200,15.54
2012-03-01,14.89,15.61,14.35,15.22,15408200,15.22
2012-02-01,15.57,16.309999,14.37,14.83,22020900,14.83
2012-01-03,16.27,16.389999,15.35,15.47,18167300,15.47
2011-12-01,16.42,16.459999,14.57,16.129999,21943000,16.129999
2011-11-01,14.95,16.50,14.75,15.71,24382900,15.71
2011-10-03,13.70,16.790001,13.37,15.64,36438000,15.64
2011-09-01,13.67,15.40,12.45,13.17,42743300,13.17
2011-08-01,13.24,13.98,11.09,13.61,33473700,13.61
2011-07-01,15.08,15.95,13.04,13.10,29550000,13.10
2011-06-01,16.34,16.43,14.50,15.04,25772600,15.04
2011-05-02,17.790001,18.84,15.63,16.549999,41113700,16.549999
2011-04-01,16.83,17.77,16.059999,17.700001,20728700,17.700001
2011-03-01,16.459999,17.700001,15.81,16.68,25018300,16.68
2011-02-01,16.33,17.84,16.040001,16.40,24578700,16.40
2011-01-03,16.809999,17.34,15.41,16.120001,23201900,16.120001
2010-12-01,16.00,17.219999,16.00,16.629999,12970200,16.629999
2010-11-01,16.50,17.60,15.77,15.82,21166800,15.82
2010-10-01,14.19,16.76,14.13,16.49,29726500,16.49
2010-09-01,13.20,14.53,13.13,14.17,27527400,14.17
2010-08-02,14.01,14.52,12.94,13.11,13811800,13.11
2010-07-01,13.99,15.60,13.52,13.88,24186600,13.88
2010-06-01,15.31,15.84,13.79,13.84,21523300,13.84
2010-05-03,16.68,16.99,14.63,15.34,26797300,15.34
2010-04-01,16.58,19.120001,16.219999,16.530001,33650200,16.530001
2010-03-01,15.43,16.940001,15.40,16.530001,21831600,16.530001
2010-02-01,15.14,15.71,14.48,15.31,21501000,15.31
2010-01-04,16.940001,17.299999,14.90,15.01,24600000,15.01
2009-12-01,15.03,16.99,14.85,16.780001,18305700,16.780001
2009-11-02,15.75,16.360001,14.80,14.97,20043500,14.97
2009-10-01,17.65,18.02,15.74,15.90,25250700,15.90
2009-09-01,14.50,17.940001,13.97,17.809999,36378300,17.809999
2009-08-03,14.56,15.21,14.30,14.61,28097800,14.61
2009-07-01,15.49,17.68,14.22,14.32,36381400,14.32
2009-06-01,16.17,16.99,14.55,15.66,19810700,15.66
2009-05-01,14.50,15.84,13.91,15.84,24369700,15.84
2009-04-01,12.70,15.39,12.60,14.29,24663000,14.29
2009-03-02,12.85,14.14,12.31,12.81,20620800,12.81
2009-02-02,11.50,14.00,11.49,13.23,18837100,13.23
2009-01-02,12.17,13.56,10.81,11.73,21408600,11.73
2008-12-01,11.82,13.57,10.50,12.20,20089400,12.20
2008-11-03,12.74,14.89,8.94,11.51,31084900,11.51
2008-10-01,17.17,17.309999,11.25,12.82,32771500,12.82
2008-09-02,19.629999,20.82,16.879999,17.299999,24333600,17.299999
2008-08-01,20.09,20.82,18.870001,19.379999,13981900,19.379999
2008-07-01,20.48,24.799999,19.59,19.889999,30010200,19.889999
2008-06-02,26.799999,27.08,20.60,20.66,37700700,20.66
2008-05-01,27.690001,29.73,22.969999,26.76,64988900,26.76
2008-04-01,28.07,28.879999,25.809999,27.41,25886600,27.41
2008-03-03,27.73,29.18,25.719999,28.93,30491900,28.93
2008-02-01,28.68,30.25,27.34,27.780001,67246000,27.780001
2008-01-02,23.799999,24.57,18.58,19.18,40871900,19.18
2007-12-03,26.639999,27.200001,22.799999,23.26,21346300,23.26
2007-11-01,30.860001,32.369999,24.690001,26.809999,35108500,26.809999
2007-10-01,26.76,34.080002,26.549999,31.10,36353300,31.10
2007-09-04,23.299999,27.07,23.10,26.84,24843400,26.84
2007-08-01,23.17,24.74,22.27,22.73,20535100,22.73
2007-07-02,27.190001,27.799999,23.24,23.25,28176100,23.25
2007-06-01,28.90,29.40,26.610001,27.129999,27196000,27.129999
2007-05-01,28.25,33.610001,27.530001,28.700001,33022800,28.700001
2007-04-02,31.219999,32.240002,27.370001,28.040001,27881300,28.040001
2007-03-01,30.129999,31.90,28.790001,31.290001,20699100,31.290001
2007-02-01,28.68,32.84,28.15,30.860001,24507800,30.860001
2007-01-03,25.85,29.879999,25.26,28.309999,30563800,28.309999
2006-12-01,27.00,27.610001,25.129999,25.540001,21467800,25.540001
2006-11-01,26.50,28.559999,25.77,27.01,22959200,27.01
2006-10-02,25.450001,26.700001,22.65,26.34,38170000,26.34
2006-09-01,28.91,29.57,24.60,25.280001,26884400,25.280001
2006-08-01,27.059999,29.969999,26.40,28.83,13288000,28.83
2006-07-03,32.900002,33.740002,24.91,27.139999,32004700,27.139999
2006-06-01,31.83,33.119999,29.25,33.00,17012900,33.00
2006-05-01,32.990002,34.00,28.60,31.59,23141800,31.59
2006-04-03,32.41,34.09,30.530001,32.779999,22687700,32.779999
2006-03-01,32.209999,32.91,29.75,32.259998,21490300,32.259998
2006-02-01,34.450001,35.099998,31.34,32.060001,25364200,32.060001
2006-01-03,39.689999,43.66,33.209999,34.380001,35789600,34.380001
2005-12-01,40.740002,42.889999,39.049999,39.18,15072500,39.18
2005-11-01,36.619999,43.450001,36.59,40.23,23278700,40.23
2005-10-03,33.799999,37.27,32.77,36.970001,22015200,36.970001
2005-09-01,33.279999,34.709999,31.60,33.84,16036400,33.84
2005-08-01,33.630001,35.00,32.650002,33.32,14843700,33.32
2005-07-01,34.759998,38.02,32.75,33.34,22593700,33.34
2005-06-01,37.310001,38.950001,34.439999,34.650002,16494800,34.650002
2005-05-02,34.439999,37.470001,33.689999,37.200001,17125000,37.200001
2005-04-01,34.18,35.91,32.290001,34.50,23654900,34.50
2005-03-01,32.369999,34.200001,30.65,33.900002,20569600,33.900002
2005-02-01,35.130001,36.34,30.299999,32.27,24149300,32.27
2005-01-03,38.360001,38.900002,33.75,35.209999,26252800,35.209999
2004-12-01,37.900002,39.790001,36.209999,37.68,13130300,37.68
2004-11-01,35.91,39.25,35.349998,37.619999,16805900,37.619999
2004-10-01,34.349998,36.75,33.599998,36.189999,21898800,36.189999
2004-09-01,28.389999,34.490002,28.129999,33.91,19542800,33.91
2004-08-02,30.57,30.610001,25.52,28.51,19215000,28.51
2004-07-01,35.139999,35.34,27.51,30.799999,26066800,30.799999
2004-06-01,30.49,36.509998,30.43,36.400002,19192500,36.400002
2004-05-03,50.529999,54.00,25.76,30.66,22834300,30.66
2004-04-01,48.82,58.349998,47.889999,50.529999,30659000,25.264999
2004-03-01,44.549999,49.299999,41.139999,48.470001,22296800,24.235001
2004-02-02,47.099998,48.07,42.830002,44.34,19127100,22.17
2004-01-02,45.50,50.41,44.25,46.98,23444100,23.49
2003-12-01,43.419998,45.48,39.959999,45.029999,18763100,22.514999
2003-11-03,43.740002,44.77,37.950001,42.990002,22904200,21.495001
2003-10-01,36.099998,44.549999,35.00,43.709999,32285200,21.855
2003-09-02,33.34,38.25,33.119999,35.389999,27953800,17.695
2003-08-01,31.629999,33.400002,28.10,33.389999,18374400,16.695
2003-07-01,32.860001,35.790001,29.559999,31.129999,29286200,15.565
2003-06-02,30.309999,33.490002,27.049999,32.700001,30130200,16.35
2003-05-01,24.790001,30.719999,24.040001,29.84,25569400,14.92
2003-04-01,23.299999,26.25,22.52,24.77,32200500,12.385
